Data as of,Start Date,End Date,Sex,Age,Total deaths,COVID-19 Deaths
9/1/2021,1/1/2020,8/28/2021,Female,0,13921,40
9/1/2021,1/1/2020,8/28/2021,Female,1,990,8
9/1/2021,1/1/2020,8/28/2021,Female,2,618,3
9/1/2021,1/1/2020,8/28/2021,Female,3,471,7
9/1/2021,1/1/2020,8/28/2021,Female,4,401,6
9/1/2021,1/1/2020,8/28/2021,Female,5,340,3
9/1/2021,1/1/2020,8/28/2021,Female,6,330,5
9/1/2021,1/1/2020,8/28/2021,Female,7,325,5
9/1/2021,1/1/2020,8/28/2021,Female,8,303,6
9/1/2021,1/1/2020,8/28/2021,Female,9,290,5
9/1/2021,1/1/2020,8/28/2021,Female,10,305,1
9/1/2021,1/1/2020,8/28/2021,Female,11,340,5
9/1/2021,1/1/2020,8/28/2021,Female,12,426,7
9/1/2021,1/1/2020,8/28/2021,Female,13,516,10
9/1/2021,1/1/2020,8/28/2021,Female,14,577,12
9/1/2021,1/1/2020,8/28/2021,Female,15,698,18
9/1/2021,1/1/2020,8/28/2021,Female,16,857,17
9/1/2021,1/1/2020,8/28/2021,Female,17,1013,20
9/1/2021,1/1/2020,8/28/2021,Female,18,1411,34
9/1/2021,1/1/2020,8/28/2021,Female,19,1508,41
9/1/2021,1/1/2020,8/28/2021,Female,20,1675,49
9/1/2021,1/1/2020,8/28/2021,Female,21,1922,48
9/1/2021,1/1/2020,8/28/2021,Female,22,1946,88
9/1/2021,1/1/2020,8/28/2021,Female,23,2178,82
9/1/2021,1/1/2020,8/28/2021,Female,24,2249,81
9/1/2021,1/1/2020,8/28/2021,Female,25,2514,106
9/1/2021,1/1/2020,8/28/2021,Female,26,2671,106
9/1/2021,1/1/2020,8/28/2021,Female,27,2955,150
9/1/2021,1/1/2020,8/28/2021,Female,28,3157,144
9/1/2021,1/1/2020,8/28/2021,Female,29,3536,173
9/1/2021,1/1/2020,8/28/2021,Female,30,3807,239
9/1/2021,1/1/2020,8/28/2021,Female,31,3866,217
9/1/2021,1/1/2020,8/28/2021,Female,32,4189,244
9/1/2021,1/1/2020,8/28/2021,Female,33,4425,262
9/1/2021,1/1/2020,8/28/2021,Female,34,4490,262
9/1/2021,1/1/2020,8/28/2021,Female,35,4815,305
9/1/2021,1/1/2020,8/28/2021,Female,36,4990,304
9/1/2021,1/1/2020,8/28/2021,Female,37,5341,332
9/1/2021,1/1/2020,8/28/2021,Female,38,5612,399
9/1/2021,1/1/2020,8/28/2021,Female,39,5923,421
9/1/2021,1/1/2020,8/28/2021,Female,40,6234,470
9/1/2021,1/1/2020,8/28/2021,Female,41,6580,559
9/1/2021,1/1/2020,8/28/2021,Female,42,6651,570
9/1/2021,1/1/2020,8/28/2021,Female,43,6940,646
9/1/2021,1/1/2020,8/28/2021,Female,44,7193,664
9/1/2021,1/1/2020,8/28/2021,Female,45,7789,743
9/1/2021,1/1/2020,8/28/2021,Female,46,8289,779
9/1/2021,1/1/2020,8/28/2021,Female,47,9005,885
9/1/2021,1/1/2020,8/28/2021,Female,48,9995,1046
9/1/2021,1/1/2020,8/28/2021,Female,49,11283,1172
9/1/2021,1/1/2020,8/28/2021,Female,50,12415,1268
9/1/2021,1/1/2020,8/28/2021,Female,51,12966,1285
9/1/2021,1/1/2020,8/28/2021,Female,52,13824,1410
9/1/2021,1/1/2020,8/28/2021,Female,53,14936,1563
9/1/2021,1/1/2020,8/28/2021,Female,54,16336,1672
9/1/2021,1/1/2020,8/28/2021,Female,55,18387,1853
9/1/2021,1/1/2020,8/28/2021,Female,56,20628,2136
9/1/2021,1/1/2020,8/28/2021,Female,57,22813,2412
9/1/2021,1/1/2020,8/28/2021,Female,58,24271,2603
9/1/2021,1/1/2020,8/28/2021,Female,59,26886,2866
9/1/2021,1/1/2020,8/28/2021,Female,60,29185,3232
9/1/2021,1/1/2020,8/28/2021,Female,61,30855,3407
9/1/2021,1/1/2020,8/28/2021,Female,62,32559,3754
9/1/2021,1/1/2020,8/28/2021,Female,63,34907,4112
9/1/2021,1/1/2020,8/28/2021,Female,64,36200,4268
9/1/2021,1/1/2020,8/28/2021,Female,65,37550,4454
9/1/2021,1/1/2020,8/28/2021,Female,66,38914,4650
9/1/2021,1/1/2020,8/28/2021,Female,67,40315,4786
9/1/2021,1/1/2020,8/28/2021,Female,68,41772,5060
9/1/2021,1/1/2020,8/28/2021,Female,69,43553,5338
9/1/2021,1/1/2020,8/28/2021,Female,70,45731,5472
9/1/2021,1/1/2020,8/28/2021,Female,71,49112,5970
9/1/2021,1/1/2020,8/28/2021,Female,72,52931,6395
9/1/2021,1/1/2020,8/28/2021,Female,73,57620,6805
9/1/2021,1/1/2020,8/28/2021,Female,74,54787,6758
9/1/2021,1/1/2020,8/28/2021,Female,75,51881,6272
9/1/2021,1/1/2020,8/28/2021,Female,76,56466,6787
9/1/2021,1/1/2020,8/28/2021,Female,77,61818,7457
9/1/2021,1/1/2020,8/28/2021,Female,78,62706,7696
9/1/2021,1/1/2020,8/28/2021,Female,79,61730,7276
9/1/2021,1/1/2020,8/28/2021,Female,80,63308,7471
9/1/2021,1/1/2020,8/28/2021,Female,81,65054,7653
9/1/2021,1/1/2020,8/28/2021,Female,82,68076,8085
9/1/2021,1/1/2020,8/28/2021,Female,83,69163,8014
9/1/2021,1/1/2020,8/28/2021,Female,84,71305,8364
9/1/2021,1/1/2020,8/28/2021,Female,85,965213,105262
9/1/2021,1/1/2020,8/28/2021,Male,0,17121,54
9/1/2021,1/1/2020,8/28/2021,Male,1,1200,15
9/1/2021,1/1/2020,8/28/2021,Male,2,825,3
9/1/2021,1/1/2020,8/28/2021,Male,3,687,4
9/1/2021,1/1/2020,8/28/2021,Male,4,542,4
9/1/2021,1/1/2020,8/28/2021,Male,5,493,8
9/1/2021,1/1/2020,8/28/2021,Male,6,426,3
9/1/2021,1/1/2020,8/28/2021,Male,7,392,6
9/1/2021,1/1/2020,8/28/2021,Male,8,355,7
9/1/2021,1/1/2020,8/28/2021,Male,9,379,7
9/1/2021,1/1/2020,8/28/2021,Male,10,439,6
9/1/2021,1/1/2020,8/28/2021,Male,11,503,6
9/1/2021,1/1/2020,8/28/2021,Male,12,555,12
9/1/2021,1/1/2020,8/28/2021,Male,13,789,13
9/1/2021,1/1/2020,8/28/2021,Male,14,1061,6
9/1/2021,1/1/2020,8/28/2021,Male,15,1458,17
9/1/2021,1/1/2020,8/28/2021,Male,16,2076,18
9/1/2021,1/1/2020,8/28/2021,Male,17,2748,33
9/1/2021,1/1/2020,8/28/2021,Male,18,3815,36
9/1/2021,1/1/2020,8/28/2021,Male,19,4626,68
9/1/2021,1/1/2020,8/28/2021,Male,20,4892,74
9/1/2021,1/1/2020,8/28/2021,Male,21,5562,86
9/1/2021,1/1/2020,8/28/2021,Male,22,5759,95
9/1/2021,1/1/2020,8/28/2021,Male,23,6002,125
9/1/2021,1/1/2020,8/28/2021,Male,24,6344,158
9/1/2021,1/1/2020,8/28/2021,Male,25,6829,148
9/1/2021,1/1/2020,8/28/2021,Male,26,7203,184
9/1/2021,1/1/2020,8/28/2021,Male,27,7653,239
9/1/2021,1/1/2020,8/28/2021,Male,28,8292,264
9/1/2021,1/1/2020,8/28/2021,Male,29,8837,324
9/1/2021,1/1/2020,8/28/2021,Male,30,9194,318
9/1/2021,1/1/2020,8/28/2021,Male,31,9403,400
9/1/2021,1/1/2020,8/28/2021,Male,32,9344,402
9/1/2021,1/1/2020,8/28/2021,Male,33,9500,432
9/1/2021,1/1/2020,8/28/2021,Male,34,9753,524
9/1/2021,1/1/2020,8/28/2021,Male,35,10009,524
9/1/2021,1/1/2020,8/28/2021,Male,36,10212,568
9/1/2021,1/1/2020,8/28/2021,Male,37,10598,659
9/1/2021,1/1/2020,8/28/2021,Male,38,10944,685
9/1/2021,1/1/2020,8/28/2021,Male,39,11726,740
9/1/2021,1/1/2020,8/28/2021,Male,40,12002,811
9/1/2021,1/1/2020,8/28/2021,Male,41,12120,956
9/1/2021,1/1/2020,8/28/2021,Male,42,12038,1019
9/1/2021,1/1/2020,8/28/2021,Male,43,12534,1087
9/1/2021,1/1/2020,8/28/2021,Male,44,12679,1253
9/1/2021,1/1/2020,8/28/2021,Male,45,13311,1418
9/1/2021,1/1/2020,8/28/2021,Male,46,14130,1492
9/1/2021,1/1/2020,8/28/2021,Male,47,15261,1718
9/1/2021,1/1/2020,8/28/2021,Male,48,17190,1912
9/1/2021,1/1/2020,8/28/2021,Male,49,19285,2176
9/1/2021,1/1/2020,8/28/2021,Male,50,21190,2488
9/1/2021,1/1/2020,8/28/2021,Male,51,21848,2583
9/1/2021,1/1/2020,8/28/2021,Male,52,23261,2770
9/1/2021,1/1/2020,8/28/2021,Male,53,24862,2880
9/1/2021,1/1/2020,8/28/2021,Male,54,27422,3176
9/1/2021,1/1/2020,8/28/2021,Male,55,30836,3513
9/1/2021,1/1/2020,8/28/2021,Male,56,34398,4038
9/1/2021,1/1/2020,8/28/2021,Male,57,36772,4171
9/1/2021,1/1/2020,8/28/2021,Male,58,39956,4396
9/1/2021,1/1/2020,8/28/2021,Male,59,43143,5136
9/1/2021,1/1/2020,8/28/2021,Male,60,46396,5388
9/1/2021,1/1/2020,8/28/2021,Male,61,49074,5816
9/1/2021,1/1/2020,8/28/2021,Male,62,51466,6301
9/1/2021,1/1/2020,8/28/2021,Male,63,54954,6707
9/1/2021,1/1/2020,8/28/2021,Male,64,56038,6806
9/1/2021,1/1/2020,8/28/2021,Male,65,57243,7280
9/1/2021,1/1/2020,8/28/2021,Male,66,58950,7496
9/1/2021,1/1/2020,8/28/2021,Male,67,59618,7581
9/1/2021,1/1/2020,8/28/2021,Male,68,61081,7971
9/1/2021,1/1/2020,8/28/2021,Male,69,61866,8214
9/1/2021,1/1/2020,8/28/2021,Male,70,63803,8769
9/1/2021,1/1/2020,8/28/2021,Male,71,65729,8926
9/1/2021,1/1/2020,8/28/2021,Male,72,69381,9622
9/1/2021,1/1/2020,8/28/2021,Male,73,74773,10338
9/1/2021,1/1/2020,8/28/2021,Male,74,69010,9729
9/1/2021,1/1/2020,8/28/2021,Male,75,64062,9102
9/1/2021,1/1/2020,8/28/2021,Male,76,68267,9699
9/1/2021,1/1/2020,8/28/2021,Male,77,73309,10293
9/1/2021,1/1/2020,8/28/2021,Male,78,72901,10196
9/1/2021,1/1/2020,8/28/2021,Male,79,69581,9709
9/1/2021,1/1/2020,8/28/2021,Male,80,68460,9705
9/1/2021,1/1/2020,8/28/2021,Male,81,68455,9427
9/1/2021,1/1/2020,8/28/2021,Male,82,68777,9556
9/1/2021,1/1/2020,8/28/2021,Male,83,68254,9584
9/1/2021,1/1/2020,8/28/2021,Male,84,67534,9222
9/1/2021,1/1/2020,8/28/2021,Male,85,623816,78415
